Training has begun...


Epoch 0 has begun

After batch 0 , accuracy: 1.0, loss: 0.637
After batch 112 , accuracy: 0.982, loss: 0.064
After batch 113 , accuracy: 0.982, loss: 0.064
After batch 114 , accuracy: 0.983, loss: 0.064
After batch 115 , accuracy: 0.983, loss: 0.063
After batch 116 , accuracy: 0.983, loss: 0.063
After batch 117 , accuracy: 0.983, loss: 0.062
After batch 118 , accuracy: 0.983, loss: 0.062
After batch 119 , accuracy: 0.983, loss: 0.061
After batch 120 , accuracy: 0.983, loss: 0.061
After batch 121 , accuracy: 0.984, loss: 0.06
After batch 122 , accuracy: 0.984, loss: 0.06
After batch 123 , accuracy: 0.984, loss: 0.059
After batch 124 , accuracy: 0.984, loss: 0.059
After batch 125 , accuracy: 0.984, loss: 0.058
After batch 126 , accuracy: 0.984, loss: 0.058
After batch 127 , accuracy: 0.984, loss: 0.057
After batch 128 , accuracy: 0.984, loss: 0.057
After batch 129 , accuracy: 0.985, loss: 0.057
After batch 130 , accuracy: 0.985, loss: 0.056
After batch 131 , accuracy: 0.985, loss: 0.056
After batch 132 , accuracy: 0.985, loss: 0.055
After batch 133 , accuracy: 0.985, loss: 0.055
After batch 134 , accuracy: 0.985, loss: 0.055
After batch 135 , accuracy: 0.985, loss: 0.054
After batch 136 , accuracy: 0.985, loss: 0.054
After batch 137 , accuracy: 0.986, loss: 0.053
After batch 138 , accuracy: 0.986, loss: 0.053
After batch 139 , accuracy: 0.986, loss: 0.053
After batch 140 , accuracy: 0.986, loss: 0.053
After batch 141 , accuracy: 0.986, loss: 0.052
After batch 142 , accuracy: 0.986, loss: 0.052
After batch 143 , accuracy: 0.986, loss: 0.051
After batch 144 , accuracy: 0.986, loss: 0.051
After batch 145 , accuracy: 0.986, loss: 0.051
After batch 146 , accuracy: 0.986, loss: 0.05
After batch 147 , accuracy: 0.986, loss: 0.05
After batch 148 , accuracy: 0.987, loss: 0.05
After batch 149 , accuracy: 0.987, loss: 0.049
After batch 150 , accuracy: 0.987, loss: 0.049
After batch 151 , accuracy: 0.987, loss: 0.049
After batch 152 , accuracy: 0.987, loss: 0.049
After batch 153 , accuracy: 0.987, loss: 0.049
After batch 154 , accuracy: 0.987, loss: 0.048
After batch 155 , accuracy: 0.987, loss: 0.048
After batch 156 , accuracy: 0.987, loss: 0.048
After batch 157 , accuracy: 0.987, loss: 0.047
After batch 158 , accuracy: 0.987, loss: 0.047
After batch 159 , accuracy: 0.988, loss: 0.047
After batch 160 , accuracy: 0.988, loss: 0.047
After batch 161 , accuracy: 0.988, loss: 0.046
After batch 162 , accuracy: 0.988, loss: 0.046
After batch 163 , accuracy: 0.988, loss: 0.046
After batch 164 , accuracy: 0.988, loss: 0.046
After batch 165 , accuracy: 0.988, loss: 0.045
After batch 166 , accuracy: 0.988, loss: 0.045
After batch 167 , accuracy: 0.988, loss: 0.045
After batch 168 , accuracy: 0.988, loss: 0.044
After batch 169 , accuracy: 0.988, loss: 0.044
After batch 170 , accuracy: 0.988, loss: 0.044
After batch 171 , accuracy: 0.988, loss: 0.044
After batch 172 , accuracy: 0.988, loss: 0.043
After batch 173 , accuracy: 0.989, loss: 0.043
After batch 174 , accuracy: 0.989, loss: 0.043
After batch 175 , accuracy: 0.989, loss: 0.043
After batch 176 , accuracy: 0.989, loss: 0.042
After batch 177 , accuracy: 0.989, loss: 0.042
After batch 178 , accuracy: 0.989, loss: 0.042
After batch 179 , accuracy: 0.989, loss: 0.042
After batch 180 , accuracy: 0.989, loss: 0.042
After batch 181 , accuracy: 0.989, loss: 0.041
After batch 182 , accuracy: 0.989, loss: 0.041
After batch 183 , accuracy: 0.989, loss: 0.041
After batch 184 , accuracy: 0.989, loss: 0.041
After batch 185 , accuracy: 0.989, loss: 0.04
After batch 186 , accuracy: 0.989, loss: 0.04
After batch 187 , accuracy: 0.989, loss: 0.04
After batch 188 , accuracy: 0.989, loss: 0.04
After batch 189 , accuracy: 0.989, loss: 0.04
After batch 190 , accuracy: 0.99, loss: 0.039
After batch 191 , accuracy: 0.99, loss: 0.039
After batch 192 , accuracy: 0.99, loss: 0.039
After batch 193 , accuracy: 0.99, loss: 0.039
After batch 194 , accuracy: 0.99, loss: 0.039
After batch 195 , accuracy: 0.99, loss: 0.039
After batch 196 , accuracy: 0.99, loss: 0.039
After batch 197 , accuracy: 0.99, loss: 0.038
After batch 198 , accuracy: 0.99, loss: 0.038
After batch 199 , accuracy: 0.99, loss: 0.038
After batch 200 , accuracy: 0.99, loss: 0.038
After batch 201 , accuracy: 0.99, loss: 0.038
After batch 202 , accuracy: 0.99, loss: 0.037
After batch 203 , accuracy: 0.99, loss: 0.037
After batch 204 , accuracy: 0.99, loss: 0.037
After batch 205 , accuracy: 0.99, loss: 0.037
After batch 206 , accuracy: 0.99, loss: 0.037
After batch 207 , accuracy: 0.99, loss: 0.037
After batch 208 , accuracy: 0.99, loss: 0.037
After batch 209 , accuracy: 0.99, loss: 0.037
After batch 210 , accuracy: 0.991, loss: 0.036
After batch 211 , accuracy: 0.991, loss: 0.036
After batch 212 , accuracy: 0.991, loss: 0.036
After batch 213 , accuracy: 0.991, loss: 0.036
After batch 214 , accuracy: 0.991, loss: 0.036
After batch 215 , accuracy: 0.991, loss: 0.036
After batch 216 , accuracy: 0.991, loss: 0.035
After batch 217 , accuracy: 0.991, loss: 0.035
After batch 218 , accuracy: 0.991, loss: 0.035
After batch 219 , accuracy: 0.991, loss: 0.035
After batch 220 , accuracy: 0.991, loss: 0.035
After batch 221 , accuracy: 0.991, loss: 0.035
Training has ended
